#UniProtKB_ac	UniProtKB_ac	type
P09382	P09382	Curated
P07550	P07550	Predicted
P29350	P29350	Predicted
P32243	P32243	Predicted
Q9NYB9	Q9NYB9	Predicted
Q969T4	Q969T4	Predicted
P10275	P10275	Predicted
P22736	P22736	Predicted
Q96HA8	Q96HA8	Predicted
P49407	P49407	Curated
Q8WV44	Q8WV44	Predicted
P12004	P12004	Predicted
Q92569	Q92569	Predicted
P61086	P61086	Predicted
P37231	P37231	Predicted
Q8WZ42	Q8WZ42	Predicted
P11940	P11940	Predicted
Q9UNE7	Q9UNE7	Predicted
P36873	P36873	Predicted
Q9HAU5	Q9HAU5	Predicted
Q9NUX5	Q9NUX5	Predicted
P19174	P19174	Predicted
Q8TBC4	Q8TBC4	Predicted
P57086	P57086	Predicted
Q8N165	Q8N165	Predicted
P78362	P78362	Predicted
Q96L73	Q96L73	Predicted
P42858	P42858	Predicted
Q00987	Q00987	Predicted
Q9NRD5	Q9NRD5	Predicted
P15822	P15822	Predicted
P02730	P02730	Curated
Q96AP0	Q96AP0	Predicted
Q9NR28	Q9NR28	Predicted
Q9HD42	Q9HD42	Curated
Q9NPD3	Q9NPD3	Predicted
P52735	P52735	Predicted
Q9C035	Q9C035	Predicted
P02649	P02649	Predicted
P19793	P19793	Predicted
Q15750	Q15750	Predicted
P21399	P21399	Curated
P43364	P43364	Predicted
O60568	O60568	Curated
O00291	O00291	Curated
P03372	P03372	Predicted
O60341	O60341	Predicted
P98170	P98170	Predicted
P42566	P42566	Curated
Q05513	Q05513	Predicted
Q8IWX8	Q8IWX8	Predicted
Q15797	Q15797	Predicted
Q8TAD8	Q8TAD8	Predicted
P20338	P20338	Predicted
P63165	P63165	Predicted
O15360	O15360	Predicted
P50570	P50570	Curated
P10276	P10276	Predicted
Q96SB4	Q96SB4	Predicted
P32856	P32856	Curated
Q13153	Q13153	Predicted
P11473	P11473	Predicted
Q14247	Q14247	Predicted
P46108	P46108	Predicted
Q66GS9	Q66GS9	Predicted
P07900	P07900	Predicted
Q9BSI4	Q9BSI4	Predicted
P62837	P62837	Predicted
Q13404	Q13404	Predicted
P47992	P47992	Curated
P17931	P17931	Curated
Q92731	Q92731	Predicted
P00533	P00533	Predicted
P21333	P21333	Predicted
P13010	P13010	Curated
Q93062	Q93062	Predicted
Q96B02	Q96B02	Predicted
P38936	P38936	Predicted
P53350	P53350	Curated
P63085	P63085	Predicted
Q9QWV4	Q9QWV4	Predicted
P49710	P49710	Predicted
P25911	P25911	Predicted
O88470	O88470	Predicted
P25233	P25233	Predicted
Q9JL25	Q9JL25	Predicted
Q9CR42	Q9CR42	Predicted
Q60591	Q60591	Predicted
P42227	P42227	Predicted
E9Q401	E9Q401	Predicted
Q8BH75	Q8BH75	Predicted
Q6PDN3	Q6PDN3	Predicted
P39428	P39428	Predicted
Q04602	Q04602	Predicted
P43067	P43067	Curated
Q92211	Q92211	Curated
P30822	P30822	Predicted
Q03790	Q03790	Predicted
P53584	P53584	Predicted
P52286	P52286	Predicted
P38822	P38822	Predicted
Q05080	Q05080	Predicted
P32790	P32790	Predicted
P00924	P00924	Curated
P06243	P06243	Predicted
P37370	P37370	Predicted
Q06208	Q06208	Predicted
P32835	P32835	Predicted
P14540	P14540	Curated
Q06449	Q06449	Predicted
P54786	P54786	Predicted
Q12349	Q12349	Predicted
P00358	P00358	Curated
P47017	P47017	Predicted
O13289	O13289	Curated
P60010	P60010	Predicted
P00330	P00330	Curated
P47068	P47068	Predicted
Q9Y7F0	Q9Y7F0	Curated
P40054	P40054	Predicted
P36006	P36006	Predicted
P00359	P00359	Curated
P12063	P12063	Curated
P00546	P00546	Predicted
P30575	P30575	Curated
Q92448	Q92448	Curated
P15303	P15303	Predicted
P48415	P48415	Predicted
